file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,71,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,0
style.css,72,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,14
style.css,73,css,d11462cf,Peter Shamoun,2025-01-24,20:07:12,-08:00,2025-01-24T20:07:12-08:00,0,46
style.css,74,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,21
style.css,75,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,76,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,77,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,4
style.css,78,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,16
style.css,79,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,12
style.css,80,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,19
style.css,81,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,82,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,83,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,14
style.css,84,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,14
style.css,85,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,13
style.css,86,css,7d5e3773,Peter Shamoun,2025-01-24,20:17:22,-08:00,2025-01-24T20:17:22-08:00,0,34
style.css,87,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,18
style.css,88,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
